product_id,category,sub_category,user,rating,comment
563,Thời Trang Nam,Đồ lót,chung.ltk19,5,9k nên ko cần đổi trả mặc dù hơi rách đũng 1chút :)) shop đóng gói cẩn thận
102,Thời Trang Nam,Áo Vest và Blazer,anhvyvu16,5,"Quần đẹp, khoá vàng sang, hoạ tiết thêu da rất bền, vải mềm, mặc đẹp, shop giao hàng nhanh, tư vấn nhiệt tình."
889,Thời Trang Nam,Áo,lucngan04,5,xinh lắm nma tay áo hơi to so vớii mìnhh :* 
312,Thời Trang Nam,Quần Short,truc091294,5,"Giao hàng nha h, hàng đúng mẫu trong hình , chất lượng vs giá cả vậy rất đáng tiền mua, sẽ ủng hộ tiếp tục "
1276,Thời Trang Nam,Áo,linhnhi12345l,5,Bzjsjsgajakjsjbhdjdkdkdndbdndbbdbdndjdjdjdbbdbdbdbdbbw
250,Thời Trang Nam,"Áo Hoodie, Áo Len & Áo Nỉ",z*****x,5,Áo hơi mỏng. Nhưng với giá đó thì cũng tạm ổn. Video mang tính chất nhận xu
456,Thời Trang Nam,Quần Dài/Quần Âu,h*****e,5,Hàng đúng hình. Giao hàng chậm vì là giao từ nước ngoài nên ok. Lần đầu mua quần trên mạng thấy rẻ hơn ngoài tiệm nhưng tiền nào của nấy cả. Lên dáng ko như mình mong đợi (có thể mình hơi khó tính). Vẫn tặng shop 5 sao vì độ trung thực của hàng
116,Thời Trang Nam,Quần Short,quynhgiangthuong,5,"1m50 50kg sz m mặc thoải mái đẹp nhé mn
Chọn 2 màu sáng mau bẩn nhưng được cái mặc trông trẻ trung "
257,Thời Trang Nam,Quần jeans,thienandeptrai2k1,5,"Hàng như hình, chất lượng tốt, rất đáng tiền"
254,Thời Trang Nam,Kính Mắt Nam,lucica0108,5,", Chất lượng sản phẩm tuyệt vời"
352,Thời Trang Nam,Đồ lót,dungtrancn,5,Đồ đẹp
130,Thời Trang Nam,Vớ/ Tất,pochitachiconta,5,", Chất lượng sản phẩm tuyệt vời, Đóng gói sản phẩm rất đẹp và chắc chắn, Shop phục vụ rất tốt, Rất đáng tiền, Thời gian giao hàng rất nhanh"
1134,Thời Trang Nam,Đồ lót,tranvanminhtriet89,5,"Sản phẩm mình nhận rất giống hình, giá hợp lý, chất lượng quần khá tốt, shop phục vụ ok, nhưng giao hàng hơi chậm tí. Nói chung thì mình rất hài lòng. Các bạn cứ yên tâm mua hàng ủng hộ shop nha."
212,Thời Trang Nam,Áo Khoác,nguyenhuong17111997,5,"Áo dày dặn đẹp cực nha, phần lót lông bên trong rất mịn chứ k bị trắng vón cục cứng như bình thường đâu ạ, rất ưng ý, giá rẻ mà chất lượng"
195,Thời Trang Nam,Quần jeans,t*****3,5,"Chất lượng sản phẩm tuyệt vời 
Giao hàng nhanh 
Đóng gói sản phẩm đẹp và chắc chắn"
655,Thời Trang Nam,Áo,huynhtaocanhn,5,"Ôm dáng, mặc đẹp tuy nhiên hơi khác với size bt. Tuy nhiên giá thế này thì chấp nhận đc"
1305,Thời Trang Nam,Áo,nguyentramsg,5,"Áo giống như trong ảnh và vải rất tốt. Giao hàng rất nhanh, giá lại rẻ"
934,Thời Trang Nam,Quần Dài/Quần Âu,d*****_,5,"Quần ok vải máttttt
Giao hàng cũnggggg nhahhhhhh
Hihihihijh"
859,Thời Trang Nam,Áo Khoác,4*****q,5,Áo chông nắng rất tốt lún ho bị nóng quá
691,Thời Trang Nam,Áo Vest và Blazer,m*****e,5,áo xinh hàng quốc tế giao hơi lâu chú nhưng cũng không sao hjdjeuwu
790,Thời Trang Nam,Vớ/ Tất,lanheo9xxx,5,", Đóng gói sản phẩm rất đẹp và chắc chắn"
417,Thời Trang Nam,Áo,nmkngoc,5,"vải mềm mịn, rất mát. Cám ơn shop! Mình sẽ tiếp tục ủng hộ."
422,Thời Trang Nam,Áo Khoác,tranthuongnamy98,5,"Quần rất vừa vặn mặc mát. Giá mua được giá hịn shop tư vấn nhiệt tềnh.Shop đóng gói cẩn thận. Giao hàng nhanh.
Sẽ ủng hộ shop lâu dài."
497,Thời Trang Nam,Quần Dài/Quần Âu,manh_241,5,Cảm giác fom quần lần này bé hơn nma chất lượng vẫn cứ là ok nha rẻ bèo luôn cả nhà ơi
939,Thời Trang Nam,Đồ lót,h*****e,5,"Giao hàng nhanh cực kỳ, vải đẹp lắm, mua lần thứ 2 của shop rồiiii"
51,Thời Trang Nam,Đồ lót,b*****g,5,"Sản phẩm đúng như mô tả, giao hàng nhanh, chất lượng tốt
Xịn và giao hàng nhanh, ưng ý lắm luôn, mình sẽ mua thêm cho anh mình nè"
50,Thời Trang Nam,Áo Khoác,n*****1,5,"THIÊN ĐƯỜNG CHECK-IN ĐẸP ĐIÊN ĐẢO TẠI ECOPARK CHÍNH THỨC MỞ CỬA ĐÓN KHÁCH 

Vườn Nhật được mệnh danh đẹp nhất Việt Nam, nằm trong Ecopark chính thức mở cửa đón khách vào ngày mai.

Khu vườn này được ví như những vườn thượng uyển tuyệt đẹp trong những lâu đài vùng Kyoto; Lạc bước vào đây, 1 bước chân"
585,Thời Trang Nam,Quần Dài/Quần Âu,ngasupler,5,"Quá ok,mặc vừa ko cần thắt lương"
866,Thời Trang Nam,Đồ lót,a*****g,5,"quên không chụp ảnh lại đã đem giặt, đồ xịn xò lắm nha chông mình dùng bảo rất thích , rẻ mà xịn cho shop 5 sao"
601,Thời Trang Nam,Khác,8*****_,5,", Chất lượng sản phẩm tuyệt vời, Đóng gói sản phẩm rất đẹp và chắc chắn, Shop phục vụ rất tốt, Rất đáng tiền, Thời gian giao hàng rất nhanh"
200,Thời Trang Nam,"Áo Hoodie, Áo Len & Áo Nỉ",phuonghuann,5,"Áo xinh lắm ạ. Chất lượng phù hợp giá tiền nha m.n, thích cái form ghê luôn á"
906,Thời Trang Nam,Quần jeans,thenam9001,5,tuyệt vời quá shop ơi
609,Thời Trang Nam,Quần jeans,thanhthao2314,5,Quần đẹp lắm ạ. Nhưng mà em mua tặng nên chưa chụp đc ảnh. Mọi người nên mua nha. Quần vừa rẻ vừa đẹp
149,Thời Trang Nam,Áo,dangngocbaona,5,"Hàng chuẩn chính hãng, giá rẻ, đẹp. Các bạn nên đặt mua của shop!"
212,Thời Trang Nam,Áo Vest và Blazer,trongnhan1996,5,", Chất lượng sản phẩm tuyệt vời"
10,Thời Trang Nam,Quần jeans,phamthiphuongan,5,"Quần đẹp mọi người ạ. Giày dặn, màu xinh. Tiếc là mình mua nhầm size nên phải đi bóp quần :((("
165,Thời Trang Nam,Quần Short,myhien16888,5,"sản phẩm tốt và giống như mô tả , nhận hàng đầy đủ , rất đáng tiền , thời gian giao hàng nhanh , rất hài lòng*****"
92,Thời Trang Nam,Kính Mắt Nam,onghua86,5,", Chất lượng sản phẩm tuyệt vời"
863,Thời Trang Nam,Khác,hoangtanpro87,5,", Chất lượng sản phẩm tuyệt vời, Đóng gói sản phẩm rất đẹp và chắc chắn, Shop phục vụ rất tốt, Rất đáng tiền"
74,Thời Trang Nam,Áo Khoác,lailadat,5,"Nghe truyện Thái Cổ Long Tượng Quyết Audio Thể loại: Huyền Huyễn Một giọt huyết áp sập muôn đời, một lá thảo chém vỡ thương khung. Đã từng cường đại nhất Thái Cổ cấm kỵ thần thuật Thái Cổ Long"
908,Thời Trang Nam,Vớ/ Tất,chuthonon2128,5,", Chất lượng sản phẩm tuyệt vời, Đóng gói sản phẩm rất đẹp và chắc chắn, Shop phục vụ rất tốt, Rất đáng tiền, Thời gian giao hàng rất nhanh"
1086,Thời Trang Nam,Áo,minhcanh_1996,5,Vải quá đẹp luôn ạ. Mình 46 kí m68 mang size L vừa luôn. Ship hơi chậm xíu
284,Thời Trang Nam,Áo Khoác,junetran96,5,Giao hàng nhanh và đóng gói rất kỉ.  Chất liệu sản phẩm tuyệt vời ...
11,Thời Trang Nam,Cà vạt & Nơ cổ,jeremiahtrantrungdung,5,", Chất lượng sản phẩm tuyệt vời, Đóng gói sản phẩm rất đẹp và chắc chắn, Shop phục vụ rất tốt, Rất đáng tiền, Thời gian giao hàng rất nhanh"
