page_id,pro_idx,item_id,shop_id,product_name,category_name,number_rating,page_no,user_id,user_name,comment_id,created_time,user_rating,user_comment,user_tag_content
48,2934,2021337125,15374634,"Sách - Đồng dao - Thơ - Truyện cho bé tập nói (Bộ 3 quyển, lẻ tùy chọn)",Comics & Manga,190.0,7.0,273135173.0,a*****1,5145173016,1624247575.0,5.0,"mình đã nhận hàng chưa sử dụng nên không biết thế nào , sẽ quay lại đánh giá sau , hình ảnh mang tính chất nhận xu nhé",5*Đóng gói sản phẩm rất đẹp và chắc chắn
51,3061,4645538209,176795305,Sách - Ngữ Pháp Tiếng Hàn Thông Dụng Sơ Cấp,Language Learning & Dictionaries,125.0,0.0,388081422.0,thanhpro95hp,5587479193,1628162477.0,5.0,Quyển sách thần thánh cho những ai học tiếng Hàn. Cài app học nghe vô cùng tiện lợi. Lật hẳn sang bài 1 mà học. Đừng lật phần giới thiệu để bắt đầu nhé.. . Có điều app nói khá nhanh. Nên nếu bạn lần đầu tiếp xúc với hangeul thì nên mua kèm 1 quyển học khác học chung như Vitamin tiếng Hàn 1 và 2.,2*Chất lượng sản phẩm tuyệt vời|5*Đóng gói sản phẩm rất đẹp và chắc chắn|6*Shop phục vụ rất tốt|3*Rất đáng tiền
18,1103,7079975375,373563994,[Mã LT50 giảm 50k đơn 250k] Sách - Bứt phá 9+ môn Toán lớp 11,Education & School,110.0,0.0,169274135.0,l*****6,6221701353,1633750402.0,5.0,"Do dịch nên sách về rất lâu luôn ạ, nhưng bù lại sách về rata đẹp và ko bị hư hỏng gì cả. Shop tư vấn dễ thương,....❤❤❤",2*Chất lượng sản phẩm tuyệt vời|5*Đóng gói sản phẩm rất đẹp và chắc chắn|6*Shop phục vụ rất tốt|3*Rất đáng tiền
68,4080,260681025,2921062,"Sách -  Combo  Ăn Dặm Không Phải Cuộc Chiến, Ăn Dặm Kiểu Nhât, Ăn Dặm Bé Chỉ Huy, Sổ Tay Ăn Dặm, Ăn Dặm Không Nước Mắt",Parenting & Family,110.0,5.0,240026272.0,huonghee98,4131296218,1613975716.0,5.0,♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️,2*Chất lượng sản phẩm tuyệt vời
25,1501,9966233160,45194730,[Mã LIFEAZ2010 giảm 10% đơn 150k] Sách - Tâm Lý Học Nghệ thuật Giao tiếp Thành Công,"Careers, Self Help & Personal Development",122.0,2.0,11779271.0,viaiem,6138716177,1632974755.0,5.0,"Săn sale được sách hay, mong shop tiếp tục flash sale nhiều sản phẩm có ích hơn nữa",|
7,424,1746991103,45194730,[Mã LIFEAZ2010 giảm 10% đơn 150k] Sách - BTS Con đường khẳng định chính mình,Classic Literature,901.0,4.0,326639574.0,thole1306,6312967995,1634443676.0,5.0,"Xinh cực luôn sách hay nữa,(hình ảnh mang tính chất nhận xu)jsksbsiaksbsks",2*Chất lượng sản phẩm tuyệt vời|5*Đóng gói sản phẩm rất đẹp và chắc chắn|6*Shop phục vụ rất tốt|3*Rất đáng tiền
79,4741,6037025052,67143793,Sách - Ehon Kĩ Năng Sống - Miu Miu Tự Lập - Combo 6 quyển (1-6 tuổi),Comics & Manga,80.0,1.0,72724071.0,l*****6,5623620088,1628503936.0,5.0,Sách đẹp hơn cả mong đợi. Nghĩ đặt dịch ship sẽ lâu. Ai nhờ cũng tươnh đối nhanhhhhh. Hihi,|
3,210,9101940620,313752154,"Sách Lớp 11 - Sổ tay kiến thức môn Toán, Lí, Hóa, Anh chinh phục điểm 10",Education & School,625.0,2.0,71585654.0,dinhdatqh123,6284682327,1634222111.0,5.0,"Phải nói là mình đã chờ đợi quốn này rất là nhiều. Hàng đóng gói kỹ càng, shop phục vụ tốt, giao hàng nhanh",|
82,4967,9820924473,183943382,[Mã LT50 giảm 50k đơn 250k] Sách Chuyển động đếm số Phép cộng - Phép trừ,Comics & Manga,43.0,3.0,28448084.0,thuhoai689,4903752184,1622042067.0,5.0,Hơi ít trang mà sách thì rõ to nói chung cungz đc chưa nhiều ví dụ lấm dùng tạm đc,|
52,3154,708524162,29642423,Sách - Combo 2 quyển Ăn dặm kiểu Nhật và Ăn dặm không nước mắt.,Parenting & Family,244.0,7.0,113518565.0,baonhi050901,3560466395,1607428228.0,5.0,"Đóng gói sách rất gọn , shop giao hàng nhanh lắm.  Số tiền bỏ ra cảm thấy xứng đáng",|
