iter	MultiClass
0	2.145420679
1	2.023193385
2	1.895761034
3	1.783912398
4	1.668285205
5	1.563900103
6	1.492092355
7	1.401930764
8	1.334678934
9	1.261457944
10	1.213295915
11	1.163140462
12	1.108146607
13	1.064678016
14	1.018142942
15	0.9737058583
16	0.9323886493
17	0.8961054942
18	0.8624610175
19	0.834101013
20	0.8038947279
21	0.7742808526
22	0.7473557359
23	0.7230729147
24	0.7028042964
25	0.6812458908
26	0.663078884
27	0.6452565408
28	0.6293619386
29	0.6098584719
30	0.5959670224
31	0.578779945
32	0.5622749943
33	0.5492919574
34	0.5348999181
35	0.5248302941
36	0.5133489847
37	0.5002715548
38	0.488323668
39	0.4755482009
40	0.4649997484
41	0.4552083567
42	0.4452055783
43	0.4361893355
44	0.4273551362
45	0.4191951084
46	0.4104892779
47	0.4029969959
48	0.3957971317
49	0.3876468294
50	0.3816409989
51	0.3748213717
52	0.3671374097
53	0.3601362882
54	0.3527790683
55	0.3466743942
56	0.3419046769
57	0.3356741259
58	0.3302524311
59	0.3246994468
60	0.3191556632
61	0.3132625835
62	0.3097874233
63	0.3049176803
64	0.2989678492
65	0.295247682
66	0.2915119512
67	0.2885207214
68	0.2843054404
69	0.2805698437
70	0.2769259998
71	0.272813919
72	0.2680707871
73	0.2645289272
74	0.261211341
75	0.2580358443
76	0.2554857539
77	0.2522675472
78	0.2485129043
79	0.2457363351
80	0.2425616818
81	0.2398951176
82	0.2367218347
83	0.2326938575
84	0.2304197616
85	0.2278126604
86	0.2253555517
87	0.2226760751
88	0.2199343001
89	0.2170766294
90	0.2156618955
91	0.2135879757
92	0.2112073265
93	0.2091736745
94	0.206929355
95	0.2053185566
96	0.2029621741
97	0.2007351231
98	0.1990701922
99	0.1974620045
100	0.1956009159
101	0.1939780502
102	0.1911896587
103	0.1891880257
104	0.1886324755
105	0.1869384196
106	0.185934347
107	0.1842358167
108	0.1825632749
109	0.1801617305
110	0.1788034264
111	0.1766474223
112	0.175182139
113	0.1734694737
114	0.1723186546
115	0.1703852447
116	0.1686153798
117	0.1662760933
118	0.1646334343
119	0.1629073616
120	0.1615452257
121	0.1604463831
122	0.159162643
123	0.1580579956
124	0.1568287207
125	0.155398098
126	0.1540573294
127	0.1530843441
128	0.1512360073
129	0.150086786
130	0.1486432375
131	0.1477691937
132	0.1462459051
133	0.145165907
134	0.143648072
135	0.1427267139
136	0.1415606406
137	0.1403068553
138	0.1385847354
139	0.1382237362
140	0.1378182175
141	0.1360867025
142	0.1347987727
143	0.1334707723
144	0.132094909
145	0.1317542526
146	0.1306334727
147	0.1297232976
148	0.1294333707
149	0.1287195323
150	0.1269028498
151	0.1258591556
152	0.1252009298
153	0.1244193777
154	0.1231614229
155	0.1220102031
156	0.1211675042
157	0.1203935725
158	0.1195659676
159	0.1186736375
160	0.1175207343
161	0.1170838933
162	0.1168055858
163	0.1158040789
164	0.1148432323
165	0.114307079
166	0.1139604673
167	0.11326599
168	0.1125159443
169	0.1118143752
170	0.1112005907
171	0.1104103908
172	0.1095720701
173	0.1087212977
174	0.1079010657
175	0.1073152691
176	0.1066554113
177	0.1064267711
178	0.105780315
179	0.105178498
180	0.1047756114
181	0.1037669795
182	0.1030200379
183	0.1024058309
184	0.1018887832
185	0.1014019798
186	0.1005721096
187	0.09987646719
188	0.09942829596
189	0.09895198976
190	0.09798064444
191	0.09718375751
192	0.09651831259
193	0.0959353525
194	0.09551374929
195	0.09510971046
196	0.09434533038
197	0.09364439895
198	0.09281999457
199	0.09217267403
200	0.09138261068
201	0.09110556218
202	0.09090355109
203	0.09028195036
204	0.08991601042
205	0.08945745088
206	0.08881047676
207	0.08834493835
208	0.0878677477
209	0.08704220646
210	0.0864587163
211	0.08593665646
212	0.0853340211
213	0.08481165755
214	0.08429612143
215	0.08389687778
216	0.08331770351
217	0.08296248759
218	0.08256386024
219	0.08214334679
220	0.08181943135
221	0.08145606059
222	0.08104053177
223	0.08063478616
224	0.08018037335
225	0.08002723303
226	0.07928144382
227	0.07886683184
228	0.07848817785
229	0.07807821204
230	0.07758767721
231	0.07742843058
232	0.07710460573
233	0.07693356638
234	0.07652430123
235	0.0761675361
236	0.07565865059
237	0.07551278879
238	0.07493357107
239	0.07461154404
240	0.07447158306
241	0.07415159864
242	0.07358755875
243	0.07324225119
244	0.07300605214
245	0.07289810394
246	0.07242093078
247	0.07217130927
248	0.07187107244
249	0.07138016941
250	0.0709591974
251	0.07066564812
252	0.07019271968
253	0.06989627113
254	0.06954516826
255	0.06924564232
256	0.06889350789
257	0.06827664707
258	0.06763550387
259	0.06741326452
260	0.06725004102
261	0.06689716395
262	0.06666195758
263	0.06643159286
264	0.06611647531
265	0.06588719817
266	0.06558168494
267	0.06534898565
268	0.06488151396
269	0.06431367937
270	0.06419353647
271	0.06374556738
272	0.06352784562
273	0.06312353562
274	0.06284002921
275	0.06260731331
276	0.06242836003
277	0.062282115
278	0.06184992187
279	0.06150665288
280	0.06108109015
281	0.06090208572
282	0.06067652295
283	0.06038899072
284	0.05994875765
285	0.05970438158
286	0.05945883727
287	0.05911648483
288	0.05885111832
289	0.05863662762
290	0.05854633546
291	0.05832446827
292	0.05814159284
293	0.05782298559
294	0.05753895691
295	0.05737883085
296	0.05695723923
297	0.05663672064
298	0.05641377041
299	0.05618504509
300	0.05598034906
301	0.05582490507
302	0.05550285249
303	0.05542312704
304	0.05535049386
305	0.05518704916
306	0.05496092166
307	0.0547260416
308	0.05440651915
309	0.05422334406
310	0.05409322311
311	0.05379206715
312	0.05340962728
313	0.05325098318
314	0.05302538697
315	0.05278586848
316	0.05253286269
317	0.05238873374
318	0.0522024659
319	0.052062992
320	0.05169507793
321	0.05146275002
322	0.05129308885
323	0.05107042853
324	0.05090699849
325	0.05074479253
326	0.05058030241
327	0.05044366732
328	0.05012724181
329	0.04995512498
330	0.04962186943
331	0.04945278461
332	0.04911122412
333	0.04895286608
334	0.04876391619
335	0.04858140345
336	0.04838678604
337	0.04804055602
338	0.04791877936
339	0.04786183429
340	0.0477609389
341	0.04757440094
342	0.04751478032
343	0.04737985639
344	0.04730467496
345	0.04716788638
346	0.04703934989
347	0.04683740863
348	0.04649574202
349	0.04635867955
350	0.04624892032
351	0.04619740276
352	0.04603878888
353	0.0456711389
354	0.04545890612
355	0.0453801179
356	0.04527367574
357	0.04508077096
358	0.04498129708
359	0.04473205571
360	0.04463371215
361	0.04451921953
362	0.04440855731
363	0.04426636463
364	0.04406769897
365	0.04379369896
366	0.04371022655
367	0.04361294937
368	0.04347586694
369	0.04323943632
370	0.04301346924
371	0.04288675091
372	0.0426449635
373	0.04240560525
374	0.04223596964
375	0.0421148757
376	0.04197402782
377	0.04186411064
378	0.04175106379
379	0.04166482325
380	0.04162068136
381	0.04152009597
382	0.04146986755
383	0.04117989442
384	0.04099757781
385	0.04084927067
386	0.04071591371
387	0.04061368812
388	0.04052062825
389	0.04039553475
390	0.04026691868
391	0.04018048394
392	0.04006146726
393	0.0400202364
394	0.03981572155
395	0.03969822874
396	0.03958125021
397	0.03946066024
398	0.03938695733
399	0.03925101187
400	0.03913227319
401	0.0390360967
402	0.03892635907
403	0.03889199489
404	0.03883456702
405	0.03867837742
406	0.03858704132
407	0.03848105652
408	0.03842934243
409	0.03833073987
410	0.03824568244
411	0.03815279411
412	0.03805891084
413	0.03799193514
414	0.03789928971
415	0.03782259082
416	0.03773560751
417	0.03763614181
418	0.03759554976
419	0.03748401185
420	0.03736119559
421	0.0372740056
422	0.03706110956
423	0.03689407359
424	0.03678379131
425	0.03665453098
426	0.03656129588
427	0.03646980097
428	0.03638522167
429	0.03630770859
430	0.03623256814
431	0.03610563862
432	0.03598183561
433	0.03591332007
434	0.03577742436
435	0.03568220445
436	0.03561197055
437	0.03551631373
438	0.03542812433
439	0.03535215834
440	0.03527090077
441	0.03519526885
442	0.03504971494
443	0.03491886915
444	0.03484716814
445	0.03480278764
446	0.03470390448
447	0.034542153
448	0.03436749776
449	0.03431155884
450	0.03421652537
451	0.03415587899
452	0.03408893298
453	0.03401747127
454	0.03392278911
455	0.03376891717
456	0.0336838183
457	0.03365700107
458	0.03357023599
459	0.03350247998
460	0.03347455344
461	0.0333389489
462	0.03321321406
463	0.03315219065
464	0.03312155028
465	0.03304052317
466	0.03293354374
467	0.03287001011
468	0.03270715007
469	0.03264078577
470	0.03256299194
471	0.03249943357
472	0.03237170626
473	0.03226196236
474	0.03219844733
475	0.03211099264
476	0.03203234948
477	0.03198856812
478	0.03183961553
479	0.03179457099
480	0.03173263997
481	0.03169063282
482	0.0315686214
483	0.03150522636
484	0.03143028004
485	0.03140121311
486	0.03134890494
487	0.03128159645
488	0.03125951799
489	0.0311534695
490	0.03102252752
491	0.03097933016
492	0.03085358081
493	0.03082548312
494	0.03077819855
495	0.03071877922
496	0.03066666897
497	0.03050298551
498	0.03039107682
499	0.03031119057
500	0.03026065243
501	0.03016114167
502	0.03010017656
503	0.03005166852
504	0.03002910142
505	0.02988142865
506	0.02982315029
507	0.02978299161
508	0.0296813596
509	0.02954270908
510	0.02949233186
511	0.02939800515
512	0.02935062092
513	0.02929234963
514	0.02923810483
515	0.02918620122
516	0.02907003244
517	0.02902256339
518	0.0289539848
519	0.02892397291
520	0.02887952986
521	0.02882297557
522	0.0287766434
523	0.02872449828
524	0.02868029997
525	0.02854963337
526	0.02847542956
527	0.02843009709
528	0.02833482872
529	0.02828538071
530	0.02820057006
531	0.02815347343
532	0.02809694463
533	0.02804676807
534	0.02799695449
535	0.02790784664
536	0.02784887419
537	0.02780085994
538	0.0277477817
539	0.02764609036
540	0.02755441615
541	0.02747771373
542	0.02738172355
543	0.02736399319
544	0.02732469892
545	0.02729251138
546	0.02715735326
547	0.02705394834
548	0.02701445033
549	0.02692035234
550	0.0268825447
551	0.02684763326
552	0.02679086543
553	0.02674439801
554	0.02668434267
555	0.02659243311
556	0.02652578634
557	0.0264705506
558	0.02643200495
559	0.02633046998
560	0.02625144821
561	0.0261924318
562	0.02613679711
563	0.02604514079
564	0.02600303753
565	0.02592534935
566	0.02588283214
567	0.02580278214
568	0.02578107437
569	0.02573400118
570	0.02571398349
571	0.02564290167
572	0.02562520845
573	0.02558332631
574	0.02551080589
575	0.02537658766
576	0.02530800405
577	0.02526473727
578	0.02520054059
579	0.02518539006
580	0.02514696641
581	0.02510387078
582	0.02500469572
583	0.02496863422
584	0.02493161589
585	0.02490595386
586	0.02486545529
587	0.0248226416
588	0.02476904332
589	0.02474037415
590	0.02470533006
591	0.02465666448
