iter	Passed	Remaining
301	2163	4999
302	2170	4992
303	2176	4981
304	2181	4971
305	2189	4965
306	2194	4954
307	2201	4945
308	2207	4935
309	2212	4925
310	2219	4917
311	2225	4907
312	2231	4897
313	2238	4889
314	2243	4879
315	2250	4871
316	2256	4862
317	2262	4852
318	2270	4846
319	2276	4837
320	2283	4829
321	2289	4821
322	2295	4810
323	2302	4804
324	2308	4794
325	2315	4787
326	2321	4777
327	2326	4767
328	2333	4759
329	2339	4750
330	2344	4739
331	2352	4733
332	2358	4723
333	2364	4715
334	2370	4705
335	2375	4695
336	2383	4689
337	2389	4679
338	2394	4669
339	2401	4662
340	2407	4652
341	2414	4644
342	2420	4635
343	2425	4626
344	2433	4619
345	2438	4609
346	2444	4600
347	2451	4592
348	2456	4582
349	2463	4575
350	2469	4566
351	2476	4558
352	2482	4550
353	2489	4542
354	2497	4537
355	2503	4528
356	2509	4519
357	2515	4511
358	2521	4502
359	2529	4496
360	2535	4487
361	2540	4476
362	2547	4470
363	2553	4461
364	2561	4455
365	2566	4446
366	2572	4436
367	2579	4430
368	2584	4420
369	2591	4412
370	2597	4404
371	2602	4394
372	2612	4391
373	2619	4385
374	2626	4377
375	2632	4368
376	2638	4359
377	2644	4352
378	2650	4343
379	2657	4335
380	2663	4326
381	2668	4317
382	2675	4309
383	2680	4300
384	2687	4292
385	2694	4285
386	2700	4277
387	2707	4270
388	2713	4261
389	2719	4253
390	2725	4245
391	2732	4237
392	2737	4228
393	2744	4221
394	2750	4212
395	2756	4204
396	2762	4195
397	2767	4186
398	2773	4178
399	2779	4169
400	2785	4160
401	2791	4152
402	2796	4143
403	2802	4134
404	2809	4127
405	2814	4118
406	2820	4109
407	2825	4100
408	2831	4092
409	2838	4084
410	2845	4077
411	2850	4068
412	2856	4060
413	2862	4051
414	2867	4042
415	2873	4034
416	2879	4025
417	2886	4019
418	2892	4010
419	2897	4001
420	2905	3995
421	2910	3986
422	2916	3978
423	2922	3970
424	2928	3962
425	2935	3955
426	2941	3947
427	2947	3939
428	2954	3931
429	2960	3924
430	2965	3915
431	2971	3907
432	2976	3898
433	2983	3890
434	2988	3881
435	2994	3873
436	3000	3865
437	3006	3857
438	3011	3848
439	3017	3840
440	3023	3832
441	3029	3824
442	3035	3816
443	3041	3808
444	3047	3801
445	3054	3794
446	3060	3785
447	3067	3779
448	3073	3771
449	3078	3762
450	3085	3755
451	3090	3747
452	3100	3743
453	3106	3735
454	3112	3728
455	3118	3720
456	3125	3713
457	3132	3706
458	3138	3699
459	3144	3691
460	3150	3683
461	3156	3675
462	3162	3668
463	3169	3660
464	3174	3652
465	3181	3645
466	3187	3637
467	3192	3629
468	3199	3622
469	3204	3614
470	3211	3607
471	3216	3598
472	3222	3589
473	3228	3582
474	3234	3575
475	3240	3566
476	3247	3560
477	3252	3551
478	3258	3544
479	3264	3537
480	3269	3528
481	3275	3520
482	3281	3512
483	3287	3505
484	3294	3498
485	3300	3490
486	3305	3482
487	3314	3477
488	3320	3469
489	3327	3463
490	3333	3455
491	3339	3447
492	3345	3440
493	3353	3435
494	3360	3427
495	3364	3419
496	3370	3410
497	3376	3403
498	3382	3396
499	3388	3388
500	3394	3380
501	3399	3372
502	3405	3365
503	3411	3357
504	3416	3349
505	3422	3341
506	3428	3333
507	3434	3326
508	3441	3319
509	3446	3311
510	3451	3303
511	3459	3297
512	3465	3289
513	3471	3282
514	3478	3275
515	3483	3267
516	3489	3260
517	3495	3252
518	3500	3244
519	3506	3237
520	3511	3228
521	3517	3220
522	3523	3213
523	3529	3206
524	3535	3198
525	3540	3190
526	3546	3182
527	3552	3175
528	3558	3168
529	3564	3160
530	3571	3154
531	3576	3146
532	3582	3138
533	3590	3133
534	3596	3126
535	3604	3120
536	3609	3112
537	3612	3102
538	3618	3094
539	3624	3087
540	3629	3079
541	3636	3072
542	3641	3064
543	3646	3056
544	3653	3049
545	3658	3042
546	3663	3034
547	3669	3026
548	3675	3019
549	3681	3012
550	3686	3004
551	3692	2996
552	3697	2989
553	3703	2981
554	3709	2974
555	3715	2966
556	3720	2959
557	3726	2952
558	3733	2945
559	3738	2937
560	3744	2930
561	3750	2923
562	3756	2916
563	3762	2908
564	3768	2901
565	3773	2893
566	3779	2886
567	3784	2878
568	3790	2871
569	3795	2863
570	3801	2855
571	3806	2848
572	3812	2840
573	3817	2833
574	3822	2825
575	3829	2818
576	3834	2810
577	3839	2803
578	3846	2796
579	3852	2789
580	3857	2781
581	3863	2774
582	3868	2767
583	3874	2759
584	3880	2752
585	3885	2745
586	3891	2738
587	3897	2730
588	3902	2723
589	3908	2715
590	3914	2708
591	3922	2703
592	3929	2697
593	3936	2690
594	3942	2683
595	3948	2676
596	3954	2669
597	3960	2662
598	3967	2655
599	3973	2648
600	3979	2641
601	3987	2636
602	3994	2629
603	4001	2623
604	4007	2616
605	4013	2609
606	4019	2602
607	4025	2595
608	4031	2588
609	4038	2581
610	4043	2574
611	4051	2568
612	4059	2562
613	4065	2556
614	4071	2548
615	4077	2541
616	4083	2534
617	4090	2528
618	4097	2521
619	4101	2514
620	4104	2505
621	4110	2498
622	4116	2491
623	4125	2486
624	4133	2479
625	4139	2472
626	4145	2466
627	4153	2460
628	4160	2453
629	4166	2447
630	4171	2439
631	4177	2432
632	4183	2425
633	4188	2418
634	4194	2410
635	4199	2403
636	4205	2396
637	4211	2389
638	4216	2382
639	4221	2374
640	4227	2367
641	4233	2360
642	4238	2353
643	4244	2346
644	4249	2338
645	4255	2331
646	4261	2324
647	4265	2317
648	4270	2309
649	4276	2302
650	4282	2295
651	4287	2288
652	4293	2281
653	4298	2274
654	4304	2267
655	4310	2260
656	4316	2253
657	4321	2246
658	4327	2239
659	4333	2232
660	4339	2225
661	4344	2218
662	4349	2210
663	4355	2204
664	4361	2197
665	4367	2190
666	4374	2183
667	4380	2177
668	4386	2170
669	4393	2163
670	4399	2157
671	4405	2150
672	4409	2142
673	4415	2135
674	4421	2128
675	4426	2121
676	4431	2114
677	4436	2106
678	4441	2099
679	4446	2092
680	4451	2085
681	4456	2078
682	4461	2070
683	4466	2063
684	4472	2056
685	4478	2049
686	4484	2042
687	4490	2036
688	4496	2029
689	4503	2023
690	4508	2016
691	4514	2009
692	4520	2002
693	4525	1995
694	4530	1988
695	4536	1981
696	4541	1974
697	4545	1966
698	4551	1959
699	4562	1955
700	4570	1949
701	4577	1942
702	4584	1936
703	4589	1929
704	4596	1923
705	4603	1917
706	4608	1910
707	4614	1903
708	4619	1896
709	4624	1889
710	4629	1881
711	4635	1874
712	4640	1867
713	4645	1860
714	4650	1853
715	4655	1846
716	4660	1839
717	4666	1832
718	4671	1825
719	4676	1818
720	4682	1812
721	4687	1804
722	4693	1798
723	4699	1791
724	4705	1784
725	4710	1777
726	4716	1771
727	4722	1764
728	4726	1757
729	4733	1750
730	4739	1744
731	4745	1737
732	4752	1731
733	4759	1724
734	4765	1718
735	4770	1711
736	4776	1704
737	4782	1697
738	4788	1691
739	4795	1684
740	4801	1678
741	4806	1671
742	4814	1665
743	4820	1658
744	4825	1651
745	4831	1645
746	4837	1638
747	4844	1631
748	4850	1625
749	4855	1618
750	4862	1612
751	4868	1605
752	4873	1598
753	4880	1592
754	4885	1585
755	4890	1578
756	4897	1572
757	4903	1565
758	4908	1558
759	4914	1551
760	4920	1545
761	4925	1538
762	4931	1531
763	4937	1525
764	4942	1518
765	4947	1511
766	4954	1504
767	4959	1498
768	4965	1491
769	4971	1484
770	4977	1478
771	4983	1471
772	4989	1465
773	5015	1464
774	5023	1458
775	5031	1452
776	5039	1446
777	5049	1440
778	5058	1434
779	5063	1428
780	5068	1421
781	5074	1414
782	5080	1407
783	5085	1401
784	5091	1394
785	5096	1387
786	5102	1380
787	5108	1374
788	5114	1367
789	5119	1360
790	5124	1354
791	5129	1347
792	5134	1340
793	5139	1333
794	5144	1326
795	5149	1319
796	5154	1312
797	5159	1306
798	5165	1299
799	5171	1292
800	5177	1286
801	5184	1279
802	5189	1273
803	5195	1266
804	5202	1260
805	5208	1253
806	5214	1247
807	5222	1240
808	5229	1234
809	5235	1228
810	5242	1221
811	5246	1214
812	5252	1208
813	5258	1201
814	5263	1194
815	5269	1188
816	5274	1181
817	5280	1174
818	5286	1168
819	5293	1161
820	5299	1155
821	5306	1149
822	5312	1142
823	5318	1135
824	5324	1129
825	5329	1122
826	5335	1116
827	5341	1109
828	5346	1102
829	5353	1096
830	5360	1090
831	5367	1083
832	5373	1077
833	5379	1070
834	5386	1064
835	5392	1057
836	5399	1051
837	5406	1045
838	5411	1038
839	5419	1032
840	5425	1025
841	5432	1019
842	5437	1012
843	5443	1006
844	5451	999
845	5456	993
846	5461	986
847	5468	980
848	5473	973
849	5481	967
850	5487	960
851	5489	953
852	5496	947
853	5502	940
854	5508	934
855	5516	927
856	5521	921
857	5527	914
858	5535	908
859	5540	902
860	5547	895
861	5553	889
862	5558	882
863	5565	876
864	5571	869
865	5578	863
866	5584	856
867	5591	850
868	5598	843
869	5603	837
870	5608	830
871	5614	824
872	5620	817
873	5627	811
874	5634	804
875	5639	798
876	5646	791
877	5651	785
878	5656	778
879	5663	772
880	5669	765
881	5675	759
882	5681	752
883	5686	746
884	5693	739
885	5699	733
886	5705	726
887	5711	720
888	5717	713
889	5723	707
890	5729	700
891	5735	694
892	5742	688
893	5748	681
894	5753	675
895	5760	668
896	5766	662
897	5771	655
898	5777	649
899	5783	642
900	5789	636
901	5795	629
902	5801	623
903	5808	616
904	5814	610
905	5820	603
906	5826	597
907	5832	590
908	5840	584
909	5846	578
910	5852	571
911	5859	565
912	5864	558
913	5870	552
914	5876	545
915	5882	539
916	5889	533
917	5895	526
918	5900	520
919	5908	513
920	5913	507
921	5920	500
922	5926	494
923	5931	487
924	5939	481
925	5944	475
926	5950	468
927	5957	462
928	5962	455
929	5970	449
930	5976	442
931	5982	436
932	5989	430
933	5995	423
934	6003	417
935	6010	410
936	6020	404
937	6030	398
938	6036	392
939	6044	385
940	6051	379
941	6056	372
942	6062	366
943	6069	360
944	6074	353
945	6081	347
946	6087	340
947	6092	334
948	6099	327
949	6106	321
950	6112	314
951	6118	308
952	6124	302
953	6131	295
954	6137	289
955	6142	282
956	6150	276
957	6155	269
958	6162	263
959	6169	257
960	6176	250
961	6182	244
962	6188	237
963	6195	231
964	6202	224
965	6208	218
966	6215	212
967	6223	205
968	6231	199
969	6238	192
970	6246	186
971	6252	180
972	6260	173
973	6266	167
974	6272	160
975	6280	154
976	6286	147
977	6293	141
978	6299	135
979	6305	128
980	6313	122
981	6319	115
982	6327	109
983	6333	102
984	6339	96
985	6345	90
986	6351	83
987	6358	77
988	6365	70
989	6385	64
990	6394	58
991	6403	51
992	6410	45
993	6417	38
994	6423	32
995	6430	25
996	6436	19
997	6444	12
998	6450	6
999	6455	0
